ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,MultiTree_Names
ike_nor,ike-nor,,,,,,
ike_iti,ike-iti,,,,,,
ike_lab,ike-lab,,,,,,
kal_wes,kal-wes,,,,,,
kal_sta,kal-sta,,,,,,
kal_pol,Polar Eskimo,,,,pola1254,,
kal_eas,kal-eas,,,,,,
aleu,Aleut,,52.1228,-174.29,aleu1260,,Aleut
ale,Aleut,,52.1228,-174.29,aleu1260,,Aleut | Aleutian | Amara
ale_wes,ale-wes,,,,,,
ale_eas,ale-eas,,,,,,
mud,Mednyj Aleut,,54.6601,167.782,medn1235,,"Aleut, Mednyj | Copper Island Aleut | Copper Island Aleut Creole"
ale_atk,ale-atk,,,,,,
ale_qax,ale-qax,,,,,,
ale_att,ale-att,,,,,,
yupi,Central Alaskan Yupik,,60.3062,-161.486,cent2127,,Western Eskimo | Yuit | Yupik
sibr,Central Siberian Yupik,,63.4308,-170.272,cent2128,,Asiatic | Siberian | Siberian Eskimo | Siberian Yupik | Yuit
ess_cha,ess-cha,,,,,,
alas,alas,,,,,,Alaska | Alaskan | Alaskan Yupik
esu_gcy,esu-gcy,,,,,,
ikt_cpm,ikt-cpm,,,,,,
ikt_hol,ikt-hol,,,,,,
ikt_spe,ikt-spe,,,,,,
ikt_gjo,ikt-gjo,,,,,,
ike_che,ike-che,,,,,,
ike_cor,ike-cor,,,,,,
ike_rep,ike-rep,,,,,,
ike_nba,ike-nba,,,,,,
ike_igl,ike-igl,,,,,,
ike_gri,ike-gri,,,,,,
ike_res,ike-res,,,,,,
ike_arc,ike-arc,,,,,,
ike_pon,ike-pon,,,,,,
ike_cly,ike-cly,,,,,,
ike_sba,ike-sba,,,,,,
ike_dor,ike-dor,,,,,,
ike_fro,ike-fro,,,,,,
ike_arq,ike-arq,,,,,,
ike_poi,ike-poi,,,,,,
ike_gwr,ike-gwr,,,,,,
ike_bel,ike-bel,,,,,,
ike_wak,ike-wak,,,,,,
ike_sag,ike-sag,,,,,,
ike_rig,ike-rig,,,,,,
kal,Kalaallisut,,69.3761,-52.864,kala1399,,"Greenlandic | Greenlandic (South) | Greenlandic Eskimo | Greenlandic Kalaallisut | Inuktitut, Greenlandic"
kal_upe,kal-upe,,,,,,
kal_nwg,kal-nwg,,,,,,
kal_swg,kal-swg,,,,,,
kal_sco,kal-sco,,,,,,
hmb_khq_ses,"hmb, khq, ses",,,,,,
wsah,Western Muskogean,,,,west2614,,West Saharan | Western | Western Saharan
kanr,Tumari Kanuri,,14.2584,13.1571,tuma1248,,Kanuri | Kanuri-Kanembu
